input,predicha,categoria_final
iPhone 13 con 128GB y cámara dual,Electrónica > Computadoras > Laptops,Electrónica > Computadoras > Laptops
Bocina bluetooth impermeable para exteriores,Electrónica > Audio > Bocinas,Electrónica > Audio > Bocinas
Vestido de fiesta largo con lentejuelas,Moda > Mujer > Vestidos,Moda > Mujer > Vestidos
Pantalla LED de 75 pulgadas Samsung 4K,Electrónica > Televisores > Smart TV,Electrónica > Televisores > Smart TV
Camisa de mezclilla manga larga para hombre,Moda > Hombre > Camisas,Moda > Hombre > Camisas
Mini refrigerador portátil para auto,Electrónica > Computadoras > Autos,Electrónica > Computadoras > Laptops
Laptop ASUS con Ryzen 7 y 16GB RAM,Electrónica > Computadoras > Laptops,Electrónica > Computadoras > Laptops
Sofá reclinable de piel para sala moderna,Hogar > Sala > Sofás,Hogar > Sala > Sofás
Audífonos inalámbricos con cancelación de ruido,Electrónica > Audio > Bocinas,Electrónica > Audio > Bocinas
Mesa plegable de comedor,Moda > Hombre > Mesas,Moda > Hombre > Camisas
Vestido informal corto con estampado floral,Moda > Mujer > Vestidos,Moda > Mujer > Vestidos
Refrigerador LG con dispensador de agua,Hogar > Cocina > Refrigeradores,Hogar > Cocina > Refrigeradores
Televisor inteligente OLED LG de 65 pulgadas,Electrónica > Televisores > Smart TV,Electrónica > Televisores > Smart TV
Silla ergonómica de oficina con soporte lumbar,Hogar > Cocina > Sillas,Hogar > Oficina > Sillas
Microondas digital con grill,Electrónica > Audio > Microondas,Electrónica > Audio > Bocinas
